Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.6835E-07,-0.0054496,0.26289,0,0,0,130.41,2.8918,4.1427E-06,-8.7919E-07,2.9518,-0.0095678,1.3963,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/base_link.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/base_link.STL,,Part1-3,GlobalCoordinateSystem,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,6.1565E-07,-0.0042679,0.28551,0,0,0,65.228,2.1977,-4.6364E-06,2.5795E-06,2.2095,-0.023803,0.27011,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_1.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_1.STL,,Part2-4,Coordinate System2,Axis1,Joint_1,revolute,0,0.65,0.24943,1.5708,0,0,base_link,0,0,-1,20000,1,-4.15,4.15,,,,,,,,
Motor_1,6.6613E-16,3.8858E-16,0.45,0,0,0,10.226,0.049713,1.1422E-18,-1.8523E-20,0.049713,-4.6428E-18,0.082382,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_1.STL,0.54902,0.18039,0.18039,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_1.STL,,MotorJoint-7,Coordinate System2,Axis1,Joint_1_Motor,fixed,0,0,0,0,0,0,Link_1,0,0,0,,,,,,,,,,,,
Link_2,0,-2.7756E-17,2.5975,0,0,0,292.92,629.08,6.9601E-17,5.7624E-16,629.08,2.2119E-16,0.97965,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_2.STL,1,0.81176,0.50196,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_2.STL,,Part3-3,Coordinate System3,Axis2,Joint_2,revolute,0,0,0.2,-1.5708,0,0,Link_1,0,0,1,15000,2,-4.15,4.15,,,,,,,,
Motor_2_1,-1.1102E-16,-2.7756E-17,0.1475,0,0,0,10.226,0.049713,1.9956E-18,-8.265E-18,0.049713,2.9371E-19,0.082382,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_2_1.STL,0.54902,0.18039,0.18039,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_2_1.STL,,MotorJoint-8,Coordinate System3,Axis2,Joint_2_Motor_1,fixed,0,0,0,0,0,0,Link_2,0,0,0,,,,,,,,,,,,
Morot_2_2,1.1102E-16,-5.5511E-17,5.0475,0,0,0,10.226,0.049713,-5.1991E-18,-8.9285E-19,0.049713,-3.6545E-19,0.082382,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Morot_2_2.STL,0.54902,0.18039,0.18039,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Morot_2_2.STL,,MotorJoint-9,Coordinate System3,Axis2,Joint_2_Motor_2,fixed,0,0,0,0,0,0,Link_2,0,0,0,,,,,,,,,,,,
Link_3,-5.8713E-07,0.004268,0.28551,0,0,0,65.228,2.1977,-4.4524E-06,-2.5206E-06,2.2095,0.023804,0.27011,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_3.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_3.STL,,Part2-5,Coordinate System4,Axis2,Joint_3,fixed,0.0048565,-0.19994,5.195,1.5708,0,-3.1173,Link_2,0,0,0,,,,,,,,,,,,
Motor_3,5.5511E-16,1.7764E-15,0.475,0,0,0,15.339,0.090547,-5.4534E-18,2.1684E-19,0.090547,2.2155E-18,0.12357,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_3.STL,0.54902,0.18039,0.18039,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_3.STL,,MotorJoint2-2,Coordinate System4,Axis3,Joint_3_Motor,fixed,0,0,0,0,0,0,Link_3,0,0,0,,,,,,,,,,,,
Link_4,9.2888E-07,-0.0066391,0.18023,0,0,0,41.932,0.63144,-3.5616E-07,-5.2368E-08,0.64396,0.0055051,0.21637,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_4.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_4.STL,,Part4-2,Coordinate System5,Axis4,Joint_4,revolute,0,0,0.95,-3.1416,0,3.1416,Link_3,0,0,-1,10000,1,-4.15,4.15,,,,,,,,
Link_5,0,-1.1102E-16,2.5975,0,0,0,292.92,629.08,-5.0437E-17,-2.9033E-16,629.08,4.6763E-15,0.97965,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_5.STL,1,0.81176,0.50196,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_5.STL,,Part3-4,Coordinate System6,Axis5,Joint_5,fixed,0,5.195,0.2,-1.5708,0.024285,-3.1416,Link_4,0,0,0,,,,,,,,,,,,
Motor_5_1,2.9976E-15,6.6613E-16,5.0475,0,0,0,10.226,0.049713,1.6001E-20,-9.0824E-18,0.049713,3.2401E-18,0.082382,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_5_1.STL,0.54902,0.18039,0.18039,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_5_1.STL,,MotorJoint-10,Coordinate System6,Axis5,Joint_5_Motor_1,fixed,0,0,0,0,0,0,Link_5,0,0,0,,,,,,,,,,,,
Motor_5_2,2.2204E-16,3.3307E-16,0.1475,0,0,0,10.226,0.049713,-2.4157E-18,-1.1873E-17,0.049713,-1.4566E-18,0.082382,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_5_2.STL,0.54902,0.18039,0.18039,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_5_2.STL,,MotorJoint-11,Coordinate System6,Axis5,Joint_5_Motor_2,fixed,0,0,0,0,0,0,Link_5,0,0,0,,,,,,,,,,,,
Link_6,-6.1565E-07,0.085506,-0.0042679,0,0,0,65.228,2.1977,-2.5795E-06,4.6364E-06,0.27011,-0.023803,2.2095,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_6.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_6.STL,,Part2-6,Coordinate System6,Axis5,Joint_6,revolute,0,0,0,0,0,0,Link_5,0,0,1,15000,2,-4.15,4.15,,,,,,,,
Motor_6,-1.1102E-16,-7.1054E-15,0.45,0,0,0,10.226,0.049713,-1.6411E-18,4.0844E-18,0.049713,-1.9949E-18,0.082382,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_6.STL,0.54902,0.18039,0.18039,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Motor_6.STL,,MotorJoint-12,Coordinate System7,Axis6,Joint_6_Motor,fixed,0,-0.2,0,-1.5708,0,0,Link_6,0,0,0,,,,,,,,,,,,
Link_7,1.6835E-07,-0.013463,0.65545,0,0,0,130.41,2.8918,-8.7919E-07,4.1427E-06,1.3963,-0.0095678,2.9518,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_7.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Link_7.STL,,Part1-4,Coordinate System7,Axis6,Joint_7,revolute,0,-0.2,0,-1.5708,0,0,Link_6,0,0,-1,15000,1,-4.15,4.15,,,,,,,,
